"_raw","_time","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,punct,source,sourcetype,"splunk_server","splunk_server_group",timeendpos,timestartpos
"Jun 30 09:36:00 server sshd[12345]: Failed password for admin from 203.0.113.15 port 61296 ssh2","2025-06-30T09:36:00.000+0530",9,30,36,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 09:36:00 server sshd[12345]: Failed password for admin from 203.0.113.15 port 61296 ssh2","2025-06-30T09:36:00.000+0530",9,30,36,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 09:30:00 server sshd[12345]: Failed password for guest from 172.16.0.2 port 44253 ssh2","2025-06-30T09:30:00.000+0530",9,30,30,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 09:30:00 server sshd[12345]: Failed password for guest from 172.16.0.2 port 44253 ssh2","2025-06-30T09:30:00.000+0530",9,30,30,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 09:26:00 server sshd[12345]: Failed password for guest from 10.0.0.5 port 57880 ssh2","2025-06-30T09:26:00.000+0530",9,30,26,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 09:26:00 server sshd[12345]: Failed password for guest from 10.0.0.5 port 57880 ssh2","2025-06-30T09:26:00.000+0530",9,30,26,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 09:19:00 server sshd[12345]: Failed password for root from 198.51.100.23 port 64313 ssh2","2025-06-30T09:19:00.000+0530",9,30,19,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 09:19:00 server sshd[12345]: Failed password for root from 198.51.100.23 port 64313 ssh2","2025-06-30T09:19:00.000+0530",9,30,19,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 09:12:00 server sshd[12345]: Failed password for admin from 198.51.100.23 port 39400 ssh2","2025-06-30T09:12:00.000+0530",9,30,12,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 09:12:00 server sshd[12345]: Failed password for admin from 198.51.100.23 port 39400 ssh2","2025-06-30T09:12:00.000+0530",9,30,12,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 09:08:00 server sshd[12345]: Failed password for guest from 203.0.113.15 port 4665 ssh2","2025-06-30T09:08:00.000+0530",9,30,8,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 09:08:00 server sshd[12345]: Failed password for guest from 203.0.113.15 port 4665 ssh2","2025-06-30T09:08:00.000+0530",9,30,8,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 09:05:00 server sshd[12345]: Failed password for john from 198.51.100.23 port 38584 ssh2","2025-06-30T09:05:00.000+0530",9,30,5,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 09:05:00 server sshd[12345]: Failed password for john from 198.51.100.23 port 38584 ssh2","2025-06-30T09:05:00.000+0530",9,30,5,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
"Jun 30 09:03:00 server sshd[12345]: Failed password for guest from 10.0.0.5 port 4185 ssh2","2025-06-30T09:03:00.000+0530",9,30,3,june,0,monday,2025,local,,"DESKTOP-323JAS5",main,1,"__::__[]:______...___","auth.log",1,"DESKTOP-323JAS5",,16,0
"Jun 30 09:03:00 server sshd[12345]: Failed password for guest from 10.0.0.5 port 4185 ssh2","2025-06-30T09:03:00.000+0530",9,30,3,june,0,monday,2025,local,,"DESKTOP-323JAS5","socs_log",1,"__::__[]:______...___","auth.log",index,"DESKTOP-323JAS5",,16,0
